h,k,hk,runs,avg_tokens,avg_runtime_s,avg_cost_usd,T_norm,runtime_norm,scenario,alpha,beta,gamma,success_rate,utility,k_label
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,accuracy_first,0.9,0.05,0.05,0.0428571428571428,0.0385714285714285,k=0
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,accuracy_first,0.9,0.05,0.05,0.238095238095238,0.1386598595727627,k=2
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,accuracy_first,0.9,0.05,0.05,0.2904761904761905,0.1815100579720742,k=5
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,accuracy_first,0.9,0.05,0.05,0.2523809523809524,0.1430574878818913,k=10
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,balanced_efficiency,0.75,0.125,0.125,0.0428571428571428,0.0321428571428571,k=0
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,balanced_efficiency,0.75,0.125,0.125,0.238095238095238,-0.0104932082109502,k=2
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,balanced_efficiency,0.75,0.125,0.125,0.2904761904761905,0.0180608592158998,k=5
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,balanced_efficiency,0.75,0.125,0.125,0.2523809523809524,-0.0209277088667002,k=10
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,cost_sensitive,0.8,0.15,0.05,0.0428571428571428,0.0342857142857142,k=0
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,cost_sensitive,0.8,0.15,0.05,0.238095238095238,0.0430792497158013,k=2
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,cost_sensitive,0.8,0.15,0.05,0.2904761904761905,0.0680614730314596,k=5
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,cost_sensitive,0.8,0.15,0.05,0.2523809523809524,0.0286276224715999,k=10
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,time_sensitive,0.8,0.05,0.15,0.0428571428571428,0.0342857142857142,k=0
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,time_sensitive,0.8,0.05,0.15,0.238095238095238,0.0353697123847734,k=2
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,time_sensitive,0.8,0.05,0.15,0.2904761904761905,0.0770263779044562,k=5
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,time_sensitive,0.8,0.05,0.15,0.2523809523809524,0.0388404242940605,k=10
